timestamp,user_id,description,confirmed_category,original_predicted_category,original_confidence
2026-09-16T12:22:50.463601+00:00,12,CONSULTING INCOME CLIENT ALPHA,Miscellaneous,Uncategorized,0.5
2026-09-16T12:22:50.466604+00:00,12,SAVINGS INTEREST CREDIT,Miscellaneous,Uncategorized,0.5
2026-09-16T12:40:59.659383+00:00,1,CONSULTING INCOME CLIENT ALPHA,Miscellaneous,Uncategorized,0.5
2026-09-16T12:40:59.662736+00:00,1,SAVINGS INTEREST CREDIT,Miscellaneous,Uncategorized,0.5
2026-09-17T07:21:42.773280+00:00,1,CONSULTING INCOME CLIENT ALPHA,Miscellaneous,Uncategorized,0.5
2026-09-17T07:21:42.774784+00:00,1,SAVINGS INTEREST CREDIT,Miscellaneous,Uncategorized,0.5
2026-09-17T10:01:47.576187+00:00,1,USD 45.00 AWS Cloud Hosting FX MARKUP,Subscriptions,Uncategorized,0.5
2026-09-17T10:01:47.618134+00:00,1,Hotel Booking Paris EUR 120.00 INTL POS,Miscellaneous,Uncategorized,0.5
2026-09-17T10:03:01.676050+00:00,1,USD 45.00 AWS Cloud Hosting FX MARKUP,Subscriptions,Uncategorized,0.5
2026-09-17T10:03:01.677146+00:00,1,Hotel Booking Paris EUR 120.00 INTL POS,Miscellaneous,Uncategorized,0.5
2026-09-17T10:04:47.861765+00:00,1,USD 45.00 AWS Cloud Hosting FX MARKUP,Subscriptions,Uncategorized,0.5
2026-09-17T10:04:47.864229+00:00,1,Hotel Booking Paris EUR 120.00 INTL POS,Miscellaneous,Uncategorized,0.5
2026-09-17T10:07:03.003493+00:00,1,USD 45.00 AWS Cloud Hosting FX MARKUP,Subscriptions,Uncategorized,0.5
2026-09-17T10:07:03.006880+00:00,1,Hotel Booking Paris EUR 120.00 INTL POS,Miscellaneous,Uncategorized,0.5
2026-09-17T10:27:02.909144+00:00,1,USD 45.00 AWS Cloud Hosting FX MARKUP,Subscriptions,Uncategorized,0.5
2026-09-17T10:27:02.912409+00:00,1,Hotel Booking Paris EUR 120.00 INTL POS,Miscellaneous,Uncategorized,0.5
2026-09-17T17:05:50.598913+00:00,1,CONSULTING INCOME CLIENT ALPHA,Miscellaneous,Uncategorized,0.5
2026-09-17T17:05:50.601383+00:00,1,SAVINGS INTEREST CREDIT,Miscellaneous,Uncategorized,0.5
2026-09-17T17:07:57.756210+00:00,1,USD 45.00 AWS Cloud Hosting FX MARKUP,Subscriptions,Uncategorized,0.5
2026-09-17T17:07:57.757275+00:00,1,Hotel Booking Paris EUR 120.00 INTL POS,Miscellaneous,Uncategorized,0.5
2026-09-17T17:11:24.923081+00:00,1,Unknown Narration,Miscellaneous,Uncategorized,0.5
2026-09-17T17:11:24.923683+00:00,1,Unknown Narration,Miscellaneous,Uncategorized,0.5
2026-09-17T17:11:24.924170+00:00,1,Unknown Narration,Miscellaneous,Uncategorized,0.5
2026-09-17T17:11:24.924745+00:00,1,Unknown Narration,Miscellaneous,Uncategorized,0.5
2026-09-17T17:11:24.925126+00:00,1,Unknown Narration,Miscellaneous,Uncategorized,0.5
